title,published,link
"Why Nike, Adidas and Ralph Lauren stuff is getting tougher to find - CNN","Sat, 08 Jan 2022 08:00:00 GMT",https://www.cnn.com/2022/01/08/business/nike-adidas-sneakers-clothing-retail/index.html
Here’s Everything We Know About Drake’s Long-Awaited Nike Sneaker - GQ,"Tue, 22 Feb 2022 08:00:00 GMT",https://www.gq.com/story/drake-nike-sneaker-hot-step
"Nike cries foul over virtual shoes, suing retailer that sells sneaker NFTs - Reuters","Thu, 03 Feb 2022 08:00:00 GMT",https://www.reuters.com/technology/nike-cries-foul-over-virtual-shoes-suing-retailer-that-sells-sneaker-nfts-2022-02-04/
"Nike Shares SNKRS Data, Plans, Concerns in Internal Meeting - Complex","Mon, 11 Oct 2021 07:00:00 GMT",https://www.complex.com/sneakers/nike-snkrs-app-data-losing-customers
How Nike Bootlegged Its Own Sneakers - Complex,"Thu, 09 Dec 2021 08:00:00 GMT",https://www.complex.com/sneakers/how-nike-bootlegged-its-own-sneakers
Nike Announces New SNKRS VP - Complex,"Wed, 23 Feb 2022 08:00:00 GMT",https://www.complex.com/sneakers/nike-snkrs-vp-gm-lucy-rouse
"Nike is on track to make $50 billion this year. How much is that, really? - Retail Dive","Thu, 04 Nov 2021 07:00:00 GMT",https://www.retaildive.com/news/nike-is-on-track-to-make-50-billion-this-year-how-much-is-that-really/608511/
"Nike asks U.S. agency to block Adidas shoe imports, citing patents - Reuters","Thu, 09 Dec 2021 08:00:00 GMT",https://www.reuters.com/legal/transactional/nike-asks-us-agency-block-adidas-shoe-imports-citing-patents-2021-12-09/
Nike products are becoming harder to find in stores. Here’s why. - NJ.com,"Mon, 14 Feb 2022 08:00:00 GMT",https://www.nj.com/business/2022/02/nike-products-are-becoming-harder-to-find-in-stores-heres-why.html
Nike Supply Chain Innovation - Nike News,"Wed, 19 Jan 2022 08:00:00 GMT",https://news.nike.com/news/nike-supply-chain-innovation
